New_ID,Life satisfaction,Neighborhood satisfaction,Similarity to friends,Years in Somerville,Marital status,Social community events availability,Annual household income,Housing satisfaction,Age,Gender,year,Living with children under 18,Student status
47,10.0,10.0,7.0,25.0,Single,4.013248542660308,100894.45434919304,7.594181275643416,59.5,Male,2011,0,0
48,10.0,10.0,10.0,25.0,Single,4.013248542660308,12000.0,7.594181275643416,80.0,Female,2011,0,0
49,10.0,9.0,8.0,25.0,Widowed,4.013248542660308,12000.0,7.594181275643416,80.0,Female,2011,0,0
50,8.0,10.0,10.0,25.0,Widowed,4.013248542660308,100894.45434919304,7.594181275643416,80.0,Female,2011,0,0
51,8.0,7.0,10.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,49.5,Male,2011,0,0
52,8.0,10.0,6.0,25.0,Divorced,4.013248542660308,59999.399999999994,7.594181275643416,49.5,Female,2011,1,0
53,6.0,10.0,9.0,25.0,Married,4.013248542660308,107999.4,7.594181275643416,59.5,Male,2011,0,0
54,5.0,8.0,8.0,25.0,Single,4.013248542660308,100894.45434919304,7.594181275643416,59.5,Female,2011,0,0
55,10.0,10.0,8.0,25.0,Married,4.013248542660308,83999.4,7.594181275643416,59.5,Female,2011,0,1
56,10.0,10.0,10.0,5.5,Widowed,4.013248542660308,100894.45434919304,7.594181275643416,80.0,Female,2011,0,1
57,7.0,4.0,4.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,69.5,Male,2011,0,0
58,6.0,6.0,2.0,25.0,Married,4.013248542660308,35999.4,7.594181275643416,29.5,Male,2011,1,0
59,10.0,10.0,10.0,18.0,Married,4.013248542660308,12000.0,7.594181275643416,69.5,Female,2011,0,0
60,8.0,8.0,8.0,18.0,Married,4.013248542660308,59999.399999999994,7.594181275643416,49.5,Male,2011,1,0
61,10.0,10.0,10.0,5.5,Divorced,4.013248542660308,12000.0,7.594181275643416,39.5,Female,2011,1,0
62,8.0,8.0,10.0,25.0,,4.013248542660308,100894.45434919304,7.594181275643416,80.0,Female,2011,0,0
63,10.0,10.0,1.0,25.0,Widowed,4.013248542660308,12000.0,7.594181275643416,80.0,Female,2011,0,0
64,8.0,8.0,6.0,25.0,Married,4.013248542660308,179999.4,7.594181275643416,39.5,Female,2011,1,0
65,10.0,9.0,9.0,25.0,Married,4.013248542660308,59999.399999999994,7.594181275643416,69.5,Female,2011,0,0
66,6.0,7.0,5.0,25.0,Married,4.013248542660308,12000.0,7.594181275643416,49.5,Male,2011,1,0
67,9.0,8.0,3.0,13.0,Divorced,4.013248542660308,59999.399999999994,7.594181275643416,69.5,Male,2011,0,0
68,9.0,6.0,5.0,25.0,Married,4.013248542660308,131999.4,7.594181275643416,39.5,Male,2011,1,0
69,10.0,6.0,6.0,13.0,Married,4.013248542660308,203999.4,7.594181275643416,49.5,Female,2011,1,1
70,10.0,10.0,10.0,2.0,Single,4.013248542660308,100894.45434919304,7.594181275643416,49.5,Female,2011,0,0
71,7.0,8.0,8.0,9.0,Divorced,4.013248542660308,107999.4,7.594181275643416,59.5,Female,2011,0,1
72,8.0,8.0,6.0,25.0,Single,4.013248542660308,83999.4,7.594181275643416,59.5,Female,2011,0,1
73,9.0,9.0,5.0,25.0,Married,4.013248542660308,155999.4,7.594181275643416,69.5,Female,2011,0,1
74,10.0,5.0,10.0,25.0,Single,4.013248542660308,35999.4,7.594181275643416,80.0,Male,2011,0,1
75,8.0,8.0,6.0,25.0,Married,4.013248542660308,83999.4,7.594181275643416,59.5,Male,2011,1,0
76,5.0,10.0,8.0,2.0,Divorced,4.013248542660308,100894.45434919304,7.594181275643416,49.5,Male,2011,0,0
77,8.0,10.0,9.0,25.0,Married,4.013248542660308,59999.399999999994,7.594181275643416,49.5,Female,2011,0,0
78,9.0,10.0,6.0,25.0,Widowed,4.013248542660308,35999.4,7.594181275643416,80.0,Female,2011,0,0
79,8.0,4.0,2.0,25.0,Married,4.013248542660308,35999.4,7.594181275643416,49.5,,2011,1,0
80,8.0,10.0,10.0,25.0,Widowed,4.013248542660308,12000.0,7.594181275643416,80.0,Female,2011,0,0
81,8.0,8.0,7.0,9.0,Cohabitee,4.013248542660308,107999.4,7.594181275643416,49.5,Female,2011,0,1
82,8.0,10.0,5.0,25.0,Married,4.013248542660308,35999.4,7.594181275643416,80.0,Male,2011,0,0
83,7.0,8.0,7.0,25.0,Married,4.013248542660308,12000.0,7.594181275643416,69.5,Male,2011,1,1
84,8.0,7.0,2.0,25.0,Widowed,4.013248542660308,100894.45434919304,7.594181275643416,69.5,Female,2011,0,0
85,8.0,10.0,10.0,25.0,Divorced,4.013248542660308,35999.4,7.594181275643416,49.5,Female,2011,0,0
86,8.0,7.0,5.0,9.0,Married,4.013248542660308,131999.4,7.594181275643416,39.5,Male,2011,1,1
87,10.0,9.0,8.0,25.0,Married,4.013248542660308,83999.4,7.594181275643416,59.5,Female,2011,0,1
88,8.0,9.0,6.0,25.0,Married,4.013248542660308,107999.4,7.594181275643416,69.5,Female,2011,0,0
89,7.0,6.0,5.0,25.0,Single,4.013248542660308,100894.45434919304,7.594181275643416,69.5,Female,2011,0,0
90,9.0,9.0,3.0,18.0,Married,4.013248542660308,131999.4,7.594181275643416,49.5,Female,2011,1,0
91,4.0,10.0,2.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,80.0,Female,2011,0,0
92,7.0,8.0,6.687547980961154,9.0,Single,4.013248542660308,35999.4,7.594181275643416,49.5,Male,2011,0,1
